name,brand,is_custom,shared_with_public,is_quick_food,serving_size,serving_unit,calories,protein,carbs,fat,saturated_fat,polyunsaturated_fat,monounsaturated_fat,trans_fat,cholesterol,sodium,potassium,dietary_fiber,sugars,vitamin_a,vitamin_c,calcium,iron,is_default
Fraises,,TRUE,FALSE,FALSE,100,gram,32,1,7,0,0,0,0,0,0,2,153,2,4.9,12,58.8,16,0.4,TRUE
Apples raw with skin,,TRUE,FALSE,FALSE,100,gram,52,0.3,11.4,0.2,0,0.1,0,0,0,1,107,2.4,10.4,1.1,7.7,0.6,0.7,TRUE
Pommes de terre,,TRUE,FALSE,FALSE,100,gram,86,2,20,0.1,0,0,0,0,0,5,421,1.8,0.9,0,11.4,15,0.8,TRUE
Filet de boeuf,,TRUE,FALSE,FALSE,100,gram,135,21,0,5,2,0,0,0,0,50,330,0,0,0,0,5,2.5,TRUE
Blanc de poulet,,TRUE,FALSE,FALSE,100,gram,110,23,0,1.5,0.4,0,0,0,0,45,255,0,0,9,0,15,0.7,TRUE
Huile d'olive,,TRUE,FALSE,FALSE,100,gram,884,0,0,100,14,11,73,0,0,2,1,0,0,0,0,1,0.6,TRUE
Beurre clarifié,,TRUE,FALSE,FALSE,100,gram,900,0.3,0,99.5,62,3.7,29,0,256,0,0,0,0,840,0,0,0,TRUE
Concombre,,TRUE,FALSE,FALSE,100,gram,15,0.6,3.6,0.1,0,0,0,0,0,2,147,0.5,1.7,72,2.8,16,0.2,TRUE
Cerneaux de noix bio,JusteBio,TRUE,FALSE,FALSE,100,gram,698,17,11,64,5.7,0,0,0,0,0,441,5.7,3,20,1.3,98,2.9,TRUE
Côte de veau,,TRUE,FALSE,FALSE,100,gram,160,20,0,9,3.5,0,0,0,0,80,300,0,0,0,0,19,0.9,TRUE
Brocolis,,TRUE,FALSE,FALSE,100,gram,34,2.8,6.6,0.4,0,0,0,0,0,33,316,2.6,1.7,0,89,47,0.7,TRUE
6 California saumon,,TRUE,FALSE,FALSE,100,gram,180,6,24,6,1.5,0,0,0,0,350,150,1,2,30,1,20,0.5,TRUE
6 California thon cuit,,TRUE,FALSE,FALSE,100,gram,210,7,23,10,1.5,0,0,0,0,380,150,1,2,30,0,20,0.8,TRUE
6 Rolls thon rouge shichimi,,TRUE,FALSE,FALSE,100,gram,170,8,24,4,0.8,0,0,0,0,360,150,1,2,40,0,20,0.9,TRUE
Chipolatas de veau antillaise,,TRUE,FALSE,FALSE,100,gram,230,16,2,17,7,0,0,0,0,70,600,0,0,0,0,10,1.2,TRUE
Escalope de veau (noix sous-noix),,TRUE,FALSE,FALSE,100,gram,120,22,0,3,1.2,0,0,0,0,70,310,0,0,0,0,16,1,TRUE
Escalope de dinde,,TRUE,FALSE,FALSE,100,gram,104,22,0,1.5,0.4,0,0,0,0,65,290,0,0,0,0,13,1.1,TRUE
Vacherin Mont-d'Or AOP,Le fromager de CESSON,TRUE,FALSE,FALSE,100,gram,294,19,0.5,24,15,0,0,0,0,600,0,0,0.1,300,0,400,0.3,TRUE
Avocat,,TRUE,FALSE,FALSE,100,gram,160,2,8.5,14.7,2.1,1.8,9.8,0,0,7,485,6.7,0.7,146,10,12,0.6,TRUE
Tomates,,TRUE,FALSE,FALSE,100,gram,18,0.9,3.9,0.2,0,0,0,0,0,5,237,1.2,2.6,833,13.7,10,0.5,TRUE
Tutti Free Morceaux blancs,Tutti Free,TRUE,FALSE,FALSE,1,piece,6,0,1.4,0,0,0,0,0,0,0,0,1.4,0,0,0,0,TRUE
Asperges,,TRUE,FALSE,FALSE,100,gram,20,2.2,3.7,0.1,0,0,0,0,0,2,202,2.1,1.9,38,5.6,24,2.1,TRUE
Rumsteak,,TRUE,FALSE,FALSE,100,gram,135,23,0,4.8,1.8,0.2,2.1,0,50,55,350,0,0,0,0,12,2.5,TRUE
Baguette Tradition,,TRUE,FALSE,FALSE,100,gram,275,8.5,56,1.2,0.2,0.4,0.2,0,0,600,150,2.5,1.5,0,0,25,1.5,TRUE
Pleurotes,,TRUE,FALSE,FALSE,100,gram,33,3.3,6,0.4,0.1,0.1,0.1,0,0,18,420,2.3,1,0,0,3,1.3,TRUE
U BIO Couscous grains moyens bio,U BIO,TRUE,FALSE,FALSE,100,gram,355,11,72,1.7,0.4,0.7,0.2,0,0,4,170,3.8,2.4,0,0,20,1.1,TRUE
